roc threshold = 3.997070e-01 ; pd = 8.346457e-01 ; fa = 145   ; nMatches = 742   ; tp = 587   ; fp = 145   ; tn = 45    ; fn = 56    ; matched = 643   ; relevant = 732   ; nTrueTracks = 889   ; fa-norm = 1.450000e+02
roc threshold = 4.058370e-01 ; pd = 8.346457e-01 ; fa = 145   ; nMatches = 742   ; tp = 586   ; fp = 145   ; tn = 45    ; fn = 57    ; matched = 643   ; relevant = 731   ; nTrueTracks = 889   ; fa-norm = 1.450000e+02
roc threshold = 4.172150e-01 ; pd = 8.346457e-01 ; fa = 145   ; nMatches = 742   ; tp = 585   ; fp = 145   ; tn = 45    ; fn = 58    ; matched = 643   ; relevant = 730   ; nTrueTracks = 889   ; fa-norm = 1.450000e+02
roc threshold = 4.215110e-01 ; pd = 8.346457e-01 ; fa = 144   ; nMatches = 742   ; tp = 585   ; fp = 144   ; tn = 46    ; fn = 58    ; matched = 643   ; relevant = 729   ; nTrueTracks = 889   ; fa-norm = 1.440000e+02
roc threshold = 4.260770e-01 ; pd = 8.346457e-01 ; fa = 143   ; nMatches = 742   ; tp = 585   ; fp = 143   ; tn = 47    ; fn = 58    ; matched = 643   ; relevant = 728   ; nTrueTracks = 889   ; fa-norm = 1.430000e+02
roc threshold = 4.275170e-01 ; pd = 8.346457e-01 ; fa = 142   ; nMatches = 742   ; tp = 585   ; fp = 142   ; tn = 48    ; fn = 58    ; matched = 643   ; relevant = 727   ; nTrueTracks = 889   ; fa-norm = 1.420000e+02
roc threshold = 4.295050e-01 ; pd = 8.346457e-01 ; fa = 142   ; nMatches = 742   ; tp = 584   ; fp = 142   ; tn = 48    ; fn = 59    ; matched = 643   ; relevant = 726   ; nTrueTracks = 889   ; fa-norm = 1.420000e+02
roc threshold = 4.322580e-01 ; pd = 8.346457e-01 ; fa = 141   ; nMatches = 742   ; tp = 584   ; fp = 141   ; tn = 49    ; fn = 59    ; matched = 643   ; relevant = 725   ; nTrueTracks = 889   ; fa-norm = 1.410000e+02
roc threshold = 4.447230e-01 ; pd = 8.346457e-01 ; fa = 141   ; nMatches = 742   ; tp = 583   ; fp = 141   ; tn = 49    ; fn = 60    ; matched = 643   ; relevant = 724   ; nTrueTracks = 889   ; fa-norm = 1.410000e+02
roc threshold = 4.506590e-01 ; pd = 8.323960e-01 ; fa = 141   ; nMatches = 740   ; tp = 582   ; fp = 141   ; tn = 49    ; fn = 61    ; matched = 643   ; relevant = 723   ; nTrueTracks = 889   ; fa-norm = 1.410000e+02
